B00, 0
B01, 0
B02, 1
B06, Blotteritem, {'type': 'Trade', 'time': 467.2499999998489, 'price': 83.0, 'party1': 'B06', 'party2': 'S04', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 485.4999999998323, 'price': 85.0, 'party1': 'B06', 'party2': 'S05', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 531.6749999997903, 'price': 84.0, 'party1': 'B06', 'party2': 'S05', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 560.624999999764, 'price': 83.0, 'party1': 'B06', 'party2': 'S01', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 583.2249999997434, 'price': 85.0, 'party1': 'B06', 'party2': 'S04', 'qty': 1}
B07, 18
B07, Blotteritem, {'type': 'Trade', 'time': 3.349999999999992, 'price': 89.0, 'party1': 'B07', 'party2': 'S04', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 77.12500000000041, 'price': 88.0, 'party1': 'B07', 'party2': 'S05', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 84.72500000000214, 'price': 88.0, 'party1': 'S06', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 117.40000000000957, 'price': 89.0, 'party1': 'B07', 'party2': 'S06', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 129.32500000001227, 'price': 90.0, 'party1': 'B07', 'party2': 'S03', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 179.72500000002373, 'price': 92.0, 'party1': 'B07', 'party2': 'S02', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 189.50000000002595, 'price': 89.0, 'party1': 'B07', 'party2': 'S05', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 266.22500000003174, 'price': 94.0, 'party1': 'B07', 'party2': 'S02', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 289.97500000001014, 'price': 90.0, 'party1': 'B07', 'party2': 'S05', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 331.97499999997194, 'price': 93.0, 'party1': 'B07', 'party2': 'S06', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 355.39999999995064, 'price': 88.0, 'party1': 'B07', 'party2': 'S05', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 390.24999999991894, 'price': 93.0, 'party1': 'B07', 'party2': 'S07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 399.1749999999108, 'price': 91.0, 'party1': 'B07', 'party2': 'S01', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 434.34999999987883, 'price': 88.0, 'party1': 'B07', 'party2': 'S05', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 474.24999999984254, 'price': 90.0, 'party1': 'S07', 'party2': 'B07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 497.2749999998216, 'price': 93.0, 'party1': 'B07', 'party2': 'S07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 528.5999999997931, 'price': 92.0, 'party1': 'B07', 'party2': 'S06', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 575.0249999997509, 'price': 94.0, 'party1': 'B07', 'party2': 'S00', 'qty': 1}
B08, 19
B08, Blotteritem, {'type': 'Trade', 'time': 16.825000000000113, 'price': 98.0, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 45.12499999999851, 'price': 77.0, 'party1': 'S04', 'party2': 'B08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 77.1000000000004, 'price': 96.0, 'party1': 'B08', 'party2': 'S08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 116.17500000000929, 'price': 98.0, 'party1': 'B08', 'party2': 'S03', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 151.12500000001722, 'price': 97.0, 'party1': 'B08', 'party2': 'S00', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 167.60000000002097, 'price': 95.0, 'party1': 'B08', 'party2': 'S05', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 208.47500000003026, 'price': 96.0, 'party1': 'B08', 'party2': 'S08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 240.15000000003747, 'price': 95.0, 'party1': 'S08', 'party2': 'B08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 264.15000000003363, 'price': 100.0, 'party1': 'B08', 'party2': 'S05', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 301.72499999999945, 'price': 98.0, 'party1': 'B08', 'party2': 'S07', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 322.49999999998056, 'price': 99.0, 'party1': 'B08', 'party2': 'S08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 356.3499999999498, 'price': 83.0, 'party1': 'S06', 'party2': 'B08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 369.24999999993804, 'price': 94.0, 'party1': 'S08', 'party2': 'B08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 407.92499999990287, 'price': 100.0, 'party1': 'B08', 'party2': 'S04', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 455.1749999998599, 'price': 97.0, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 459.39999999985605, 'price': 100.0, 'party1': 'B08', 'party2': 'S00', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 509.09999999981085, 'price': 99.0, 'party1': 'B08', 'party2': 'S01', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 527.2999999997943, 'price': 100.0, 'party1': 'B08', 'party2': 'S08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 555.5249999997686, 'price': 99.0, 'party1': 'B08', 'party2': 'S07', 'qty': 1}
B09, 19
B09, Blotteritem, {'type': 'Trade', 'time': 2.9749999999999934, 'price': 103.0, 'party1': 'B09', 'party2': 'S05', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 40.27499999999878, 'price': 100.0, 'party1': 'B09', 'party2': 'S02', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 76.22500000000021, 'price': 105.0, 'party1': 'B09', 'party2': 'S09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 111.10000000000814, 'price': 101.0, 'party1': 'B09', 'party2': 'S01', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 151.65000000001734, 'price': 84.0, 'party1': 'S06', 'party2': 'B09', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 165.25000000002044, 'price': 100.0, 'party1': 'B09', 'party2': 'S01', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 213.67500000003145, 'price': 101.0, 'party1': 'B09', 'party2': 'S02', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 222.82500000003353, 'price': 80.0, 'party1': 'S05', 'party2': 'B09', 'qty': 1}
