B00, 0
B01, 0
B02, 0
B03, 3
B06, Blotteritem, {'type': 'Trade', 'time': 516.599999999804, 'price': 76.0, 'party1': 'B06', 'party2': 'S04', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 537.0999999997854, 'price': 76.0, 'party1': 'B06', 'party2': 'S01', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 557.4999999997668, 'price': 81.0, 'party1': 'B06', 'party2': 'S03', 'qty': 1}
B06, Blotteritem, {'type': 'Trade', 'time': 593.2999999997343, 'price': 75.0, 'party1': 'B06', 'party2': 'S02', 'qty': 1}
B07, 18
B07, Blotteritem, {'type': 'Trade', 'time': 26.774999999999547, 'price': 83.0, 'party1': 'B07', 'party2': 'S07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 48.699999999998305, 'price': 85.0, 'party1': 'B07', 'party2': 'S07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 79.62500000000098, 'price': 83.0, 'party1': 'B07', 'party2': 'S05', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 116.40000000000934, 'price': 84.0, 'party1': 'B07', 'party2': 'S04', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 149.50000000001685, 'price': 83.0, 'party1': 'B07', 'party2': 'S01', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 171.17500000002178, 'price': 85.0, 'party1': 'B07', 'party2': 'S07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 200.45000000002844, 'price': 84.0, 'party1': 'B07', 'party2': 'S00', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 226.97500000003447, 'price': 84.0, 'party1': 'B07', 'party2': 'S00', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 245.65000000003872, 'price': 83.0, 'party1': 'B07', 'party2': 'S02', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 293.5250000000069, 'price': 81.0, 'party1': 'B07', 'party2': 'S02', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 303.7499999999976, 'price': 86.0, 'party1': 'B07', 'party2': 'S05', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 348.0499999999573, 'price': 84.0, 'party1': 'B07', 'party2': 'S03', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 390.9249999999183, 'price': 82.0, 'party1': 'B07', 'party2': 'S06', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 456.4999999998587, 'price': 84.0, 'party1': 'B07', 'party2': 'S06', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 479.9999999998373, 'price': 85.0, 'party1': 'B07', 'party2': 'S07', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 481.59999999983586, 'price': 80.0, 'party1': 'B07', 'party2': 'S06', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 516.7249999998039, 'price': 85.0, 'party1': 'B07', 'party2': 'S05', 'qty': 1}
B07, Blotteritem, {'type': 'Trade', 'time': 550.749999999773, 'price': 85.0, 'party1': 'B07', 'party2': 'S06', 'qty': 1}
B08, 17
B08, Blotteritem, {'type': 'Trade', 'time': 9.525000000000068, 'price': 67.0, 'party1': 'S04', 'party2': 'B08', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 73.5499999999996, 'price': 92.0, 'party1': 'B08', 'party2': 'S07', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 126.67500000001168, 'price': 90.0, 'party1': 'B08', 'party2': 'S05', 'qty': 1}
B08, Blotteritem, {'type': 'Trade', 'time': 164.87500000002035, 'price': 67.0, 'party1': 'S04', 'party2': 'B08', 'qty': 1}
