Trd, 000354.610, 108
Trd, 000355.760, 101
Trd, 000356.640, 101
Trd, 000357.540, 101
Trd, 000359.000, 101
Trd, 000359.100, 101
Trd, 000361.410, 100
Trd, 000365.540, 100
Trd, 000365.670, 100
Trd, 000366.330, 101
Trd, 000367.670, 101
Trd, 000367.900, 101
Trd, 000369.380, 101
Trd, 000370.600, 103
Trd, 000372.280, 104
Trd, 000373.390, 112.0
Trd, 000374.480, 101
Trd, 000378.640, 101
Trd, 000378.690, 101
Trd, 000378.950, 114.0
Trd, 000378.970, 118.0
Trd, 000379.640, 101
Trd, 000384.730, 101
Trd, 000385.410, 104
Trd, 000385.740, 102
Trd, 000386.620, 102
Trd, 000389.810, 105
Trd, 000390.900, 105
Trd, 000391.420, 105
Trd, 000392.900, 101
Trd, 000392.990, 106
Trd, 000394.400, 106
Trd, 000397.920, 101
Trd, 000398.360, 101
Trd, 000398.990, 101
Trd, 000400.430, 101
Trd, 000403.710, 102
Trd, 000404.600, 101
Trd, 000405.310, 101
Trd, 000407.760, 101
Trd, 000408.590, 101
Trd, 000411.640, 101
Trd, 000411.680, 101
Trd, 000411.710, 101
Trd, 000413.090, 101
Trd, 000415.230, 114.0
Trd, 000417.840, 103
Trd, 000418.730, 103
Trd, 000418.870, 105
Trd, 000421.130, 98
Trd, 000421.610, 100
Trd, 000422.660, 100
Trd, 000423.520, 101
Trd, 000425.120, 101
Trd, 000425.490, 102
Trd, 000425.580, 109
Trd, 000425.790, 112.0
Trd, 000428.660, 111
Trd, 000428.840, 118.0
Trd, 000429.180, 120.0
Trd, 000429.630, 111
Trd, 000430.080, 103
Trd, 000431.540, 122.0
Trd, 000434.220, 105
Trd, 000434.380, 103
Trd, 000436.120, 101
Trd, 000439.180, 101
Trd, 000439.800, 101
Trd, 000442.130, 101
Trd, 000445.470, 93
Trd, 000448.270, 93
Trd, 000449.110, 93
Trd, 000449.630, 94
Trd, 000449.810, 94
Trd, 000450.890, 95
Trd, 000451.720, 96
Trd, 000452.150, 95
Trd, 000453.130, 96
Trd, 000453.400, 97
Trd, 000455.520, 101
Trd, 000455.680, 100
Trd, 000456.180, 101
Trd, 000458.570, 101
Trd, 000458.900, 101
Trd, 000459.110, 101
Trd, 000459.840, 114.0
Trd, 000464.550, 116.0
Trd, 000464.660, 114
Trd, 000465.010, 110
Trd, 000468.530, 101
Trd, 000468.690, 112.0
Trd, 000469.970, 105
Trd, 000473.650, 109
Trd, 000474.350, 108
Trd, 000475.800, 101
Trd, 000477.030, 103
Trd, 000477.550, 104
Trd, 000477.700, 104
Trd, 000479.060, 104
Trd, 000480.620, 101
Trd, 000485.340, 99
Trd, 000485.360, 100
Trd, 000486.070, 100
Trd, 000487.570, 99
Trd, 000488.980, 100
Trd, 000489.000, 101
Trd, 000489.850, 101
Trd, 000490.410, 101
Trd, 000496.530, 114.0
Trd, 000498.180, 114.0
Trd, 000499.020, 115
Trd, 000499.630, 115
Trd, 000499.910, 116.0
Trd, 000501.910, 110
Trd, 000501.920, 112
Trd, 000503.280, 104
Trd, 000506.280, 101
Trd, 000507.350, 101
Trd, 000507.920, 101
Trd, 000509.170, 101
Trd, 000509.510, 101
Trd, 000512.280, 101
Trd, 000512.570, 101
Trd, 000514.480, 101
Trd, 000514.840, 101
Trd, 000515.750, 101
Trd, 000516.310, 102
Trd, 000516.610, 101
Trd, 000519.480, 104
Trd, 000524.000, 101
Trd, 000524.410, 101
Trd, 000528.730, 101
Trd, 000529.550, 101
Trd, 000529.690, 102
Trd, 000533.950, 99
Trd, 000534.810, 99
Trd, 000535.520, 101
Trd, 000536.480, 101
Trd, 000537.280, 101
Trd, 000537.430, 101
Trd, 000539.030, 101
Trd, 000539.190, 101
Trd, 000540.750, 101
Trd, 000541.450, 101
Trd, 000542.960, 101
Trd, 000543.210, 101
Trd, 000544.530, 102
Trd, 000545.280, 100
Trd, 000546.120, 101
Trd, 000546.130, 110
Trd, 000549.560, 102
Trd, 000550.220, 101
Trd, 000551.930, 106
Trd, 000552.450, 112.0
Trd, 000553.310, 114.0
Trd, 000554.500, 108
Trd, 000556.540, 110
Trd, 000556.760, 108
Trd, 000557.920, 110
Trd, 000558.720, 105
Trd, 000559.400, 116.0
Trd, 000559.680, 103
Trd, 000560.900, 116.0
Trd, 000563.760, 101
Trd, 000564.120, 101
Trd, 000566.100, 104
Trd, 000571.370, 97
Trd, 000572.350, 97
Trd, 000573.370, 98
Trd, 000574.300, 99
Trd, 000574.370, 101
Trd, 000578.790, 101
Trd, 000580.300, 101
Trd, 000582.660, 101
Trd, 000585.260, 101
Trd, 000587.020, 101
Trd, 000587.080, 100
Trd, 000588.790, 101
Trd, 000589.070, 101
Trd, 000590.310, 101
Trd, 000590.430, 101
Trd, 000591.240, 101
Trd, 000592.450, 101
Trd, 000593.450, 101
Trd, 000595.790, 101
Trd, 000596.300, 101
Trd, 000597.810, 101
Trd, 000599.120, 102
Trd, 000599.320, 102
