B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 1
B12, Blotteritem, {'type': 'Trade', 'time': 197.6250000000278, 'price': 94, 'party1': 'S08', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 270.4500000000279, 'price': 92, 'party1': 'B12', 'party2': 'S07', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 331.2499999999726, 'price': 93, 'party1': 'S00', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 431.57499999988136, 'price': 92, 'party1': 'S06', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 469.8749999998465, 'price': 90, 'party1': 'B12', 'party2': 'S03', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 508.1499999998117, 'price': 92, 'party1': 'B12', 'party2': 'S02', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 597.9249999997301, 'price': 89, 'party1': 'B12', 'party2': 'S01', 'qty': 1}
B13, 10
B13, Blotteritem, {'type': 'Trade', 'time': 21.499999999999847, 'price': 90, 'party1': 'S04', 'party2': 'B13', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 71.8249999999992, 'price': 94, 'party1': 'B13', 'party2': 'S00', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 96.62500000000485, 'price': 95, 'party1': 'S03', 'party2': 'B13', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 194.80000000002715, 'price': 93, 'party1': 'B13', 'party2': 'S00', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 221.3500000000332, 'price': 92, 'party1': 'B13', 'party2': 'S02', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 272.3000000000262, 'price': 93, 'party1': 'S02', 'party2': 'B13', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 298.7000000000022, 'price': 93, 'party1': 'B13', 'party2': 'S03', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 363.17499999994357, 'price': 92, 'party1': 'B13', 'party2': 'S07', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 406.1499999999045, 'price': 91, 'party1': 'B13', 'party2': 'S00', 'qty': 1}
B13, Blotteritem, {'type': 'Trade', 'time': 586.5749999997404, 'price': 89, 'party1': 'B13', 'party2': 'S06', 'qty': 1}
B14, 11
B14, Blotteritem, {'type': 'Trade', 'time': 17.650000000000066, 'price': 80, 'party1': 'S03', 'party2': 'B14', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 65.92499999999787, 'price': 95, 'party1': 'S06', 'party2': 'B14', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 137.3500000000141, 'price': 93, 'party1': 'B14', 'party2': 'S00', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 191.85000000002648, 'price': 94, 'party1': 'S06', 'party2': 'B14', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 300.4500000000006, 'price': 93, 'party1': 'S07', 'party2': 'B14', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 361.0249999999455, 'price': 93, 'party1': 'S00', 'party2': 'B14', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 386.7999999999221, 'price': 92, 'party1': 'B14', 'party2': 'S03', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 430.9749999998819, 'price': 91, 'party1': 'B14', 'party2': 'S00', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 444.57499999986953, 'price': 93, 'party1': 'S08', 'party2': 'B14', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 514.7749999998057, 'price': 91, 'party1': 'B14', 'party2': 'S04', 'qty': 1}
B14, Blotteritem, {'type': 'Trade', 'time': 547.5499999997759, 'price': 92, 'party1': 'S05', 'party2': 'B14', 'qty': 1}
B15, 9
B15, Blotteritem, {'type': 'Trade', 'time': 25.29999999999963, 'price': 90, 'party1': 'S07', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 209.87500000003058, 'price': 93, 'party1': 'B15', 'party2': 'S04', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 328.09999999997547, 'price': 92, 'party1': 'B15', 'party2': 'S05', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 330.3749999999734, 'price': 93, 'party1': 'S06', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 348.79999999995664, 'price': 93, 'party1': 'S02', 'party2': 'B15', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 411.5999999998995, 'price': 91, 'party1': 'B15', 'party2': 'S02', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 456.99999999985823, 'price': 90, 'party1': 'B15', 'party2': 'S02', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 558.6749999997658, 'price': 89, 'party1': 'B15', 'party2': 'S02', 'qty': 1}
B15, Blotteritem, {'type': 'Trade', 'time': 592.9999999997345, 'price': 90, 'party1': 'S07', 'party2': 'B15', 'qty': 1}
B16, 8
B16, Blotteritem, {'type': 'Trade', 'time': 23.974999999999707, 'price': 91, 'party1': 'S08', 'party2': 'B16', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 88.27500000000295, 'price': 94, 'party1': 'B16', 'party2': 'S02', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 94.72500000000441, 'price': 94, 'party1': 'B16', 'party2': 'S00', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 149.90000000001695, 'price': 93, 'party1': 'B16', 'party2': 'S03', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 220.60000000003302, 'price': 92, 'party1': 'B16', 'party2': 'S06', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 370.424999999937, 'price': 93, 'party1': 'S03', 'party2': 'B16', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 446.62499999986767, 'price': 91, 'party1': 'B16', 'party2': 'S06', 'qty': 1}
B16, Blotteritem, {'type': 'Trade', 'time': 571.3999999997542, 'price': 91, 'party1': 'S08', 'party2': 'B16', 'qty': 1}
B17, 7
B17, Blotteritem, {'type': 'Trade', 'time': 21.07499999999987, 'price': 81, 'party1': 'S06', 'party2': 'B17', 'qty': 1}
